Question,Answer,Name
"vērus, vēra, vērum","true, real, proper","vērus, vēra, vērum"
"beātus, beāta, beātum","happy, fortunate","beātus, beāta, beātum"
"bellus, bella, bellum","pretty, handsome, charming","bells, bella, bellum"
"bonus, bona, bonum","good, kind","bonus, bona, bonum"
"parvus, parva, parvum","small, little","parvus, parva, parvum"
"paucī, paucae, pauca","usually pl.few, a few","paucī, paucae, pauca"
"perpetuus, perpetua, perpetuum","perpetual, lasting, uninterrupted, continuous","perpetuus, perpetua, perpetuum"
"plēnus, plēna, plēnum","full, abundant, generous","plēnus, plēna, plēnum"
"pulcher, pulchra, pulchrum","beautiful, handsome; fine","puncher, pulchra, pulchrum"
"stultus, stulta, stultum","foolish","stultus, stulta, stultum"
"beātus, beāta, beātum","happy, fortunate, blessed","beātus, beāta, beātum"
"dīvīnus, dīvīna, dīvīnum","divine","dīvīnus, dīvīna, dīvīnum"
