Question,Answer,Name
"multus, multa, multum","much, many","multus, multa, multum"
"magnus, magna, magnum","large, great, important","magnus, magna, magnum"
"tantus, tanta, tantum","so large, so great, of such size","tantus, tanta, tantum"
"nūllus, nūlla, nūllum","no","nūllus, nūlla, nūllum"
"malus, mala, malum","bad, wicked, evil","malus, mala, malum"
"longus, longa, longum","long","longus, longa, longum"
"quantus, quanta, quantum","how large, how great, how much","quantus, quanta, quantum"
"meus, mea, meum","my","meus, mea, meum"
"noster, nostra, nostrum","our, ours","noster, nostra, nostrum"
"tuus, tua, tuum","your (sg.)","tuus, tua, tuum"
"vester, vestra, vestrum","your (pl.)","vester, vestra, vestrum"
"suus, sua, suum","his own, her own, its own, their own","suus, sua, suum"
"vērus, vēra, vērum","true, real, proper","vērus, vēra, vērum"
"bellus, bella, bellum","pretty, handsome, charming","bells, bella, bellum"
"bonus, bona, bonum","good, kind","bonus, bona, bonum"
"parvus, parva, parvum","small, little","parvus, parva, parvum"
"paucī, paucae, pauca","usually pl.few, a few","paucī, paucae, pauca"
"perpetuus, perpetua, perpetuum","perpetual, lasting, uninterrupted, continuous","perpetuus, perpetua, perpetuum"
"plēnus, plēna, plēnum","full, abundant, generous","plēnus, plēna, plēnum"
"pulcher, pulchra, pulchrum","beautiful, handsome; fine","puncher, pulchra, pulchrum"
"stultus, stulta, stultum","foolish","stultus, stulta, stultum"
"beātus, beāta, beātum","happy, fortunate, blessed","beātus, beāta, beātum"
"dīvīnus, dīvīna, dīvīnum","divine","dīvīnus, dīvīna, dīvīnum"
"novus, nova, novum","new; strange","novus, nova, novum"
"certus, a, um","definite, sure, certain, reliable","certus, a, um"
"medius, a, um","middle","medius, a, um"
"publicus, a, um","of the people, public","publicus, a, um"
"adversus, adversa, adversum","adverse, evil, hostile","adversus, adversa, adversum"
"antīquus, antīqua, antīquum","ancient, old time","antīquus, antīqua, antīquum"
"avārus, avāra, avārum","greedy, avaricious","avārus, avāra, avārum"
"hūmānus, hūmāna, hūmānum","pertaining to man, human; humane, kind; refined, cultivated","hūmānus, hūmāna, hūmānum"
"immodicus, immodica, immodicum","immoderate, excessive","immodicus, immodica, immodicum"
"īnfīnītus, īnfīnīta, īnfīnītum","infinite, boundless, unlimited, endless","īnfīnītus, īnfīnīta, īnfīnītum"
"infortūnātus, infortūnāta, infortūnātum","unfortunate","infortūnātus, infortūnāta, infortūnātum"
"līber, lībera, līberum","free","līber, lībera, līberum"
"Graecus, Graeca, Graecum","1st/2nd Greek","Graecus, Graeca, Graecum"
"Rōmānus, Rōmāna, Rōmānum","1st/2nd Roman","Rōmānus, Rōmāna, Rōmānum"
"saevus, saeva, saevum","1st/2nd cruel","saevus, saeva, saevum"
"salvus, salva, salvum","1st/2nd safe, sound","salvus, salva, salvum"
"sānus, sāna, sānum","1st/2nd sound, healthy, sane","sānus, sāna, sānum"
"secundus, secunda, secundum","1st/2nd second, favorable","secundus, secunda, secundum"
"rēctus, rēcta, rēctum","1st/2nd right","rēctus, rēcta, rēctum"
"eximius, eximia, eximium","1st/2nd extraordinary","eximius, eximia, eximium"
"amīcus, amīca, amīcum","friendly","amīcus, amīca, amiīcum"
"cārus, cāra, cārum","dear","cārus, cāra, cārum"
"īnfortūnātus, īnfortūnāta, īnfortūnātum","unfortunate","īnfortūnātus, īnfortūnāta, īnfortūnātum"
"angustus, angusta, angustum","narrow, limited","angustus, angusta, angustum"
"perītus, perīta, perītum","skillful","perītus, perīta, perītum"
"asper, aspera, asperum","rough, harsh","asper, aspera, asperum"
"Pūnicus, Pūnica, Pūnic","Punic, Cathaginian","Pūnicus, Pūnica, Pūnic"
"varius, varia, varium","varied","varius, varia, varium"
"īnfīrmus, īnfīrma, īnfīrmum","not strong, weak","īnfīrmus, īnfīrma, īnfīrmum"
"dūrus, dūram dūrum","hard, harsh","dūrus, dūram dūrum"
"indignus, indigna, indignum","unworthy","indignus, indigna, indignum"
"praeclārus, praeclāra, praeclārum","noble, remarkable","praeclārus, praeclāra, praeclārum"
"Trōiānus, Trōiāna, Trōiānum","Trojan","Trōiānus, Trōiāna, Trōiānum"
"acerbus, acerba, acerbum","harsh, bitter, grievous","acerbus, acerba, acerbum"
"summus, summa, summum","extreme","summus, summa, summum"
"doctus, docta, doctum","taught, learned, skilled","doctus, docta, doctum"
"fortūnātus, fortūnāta, fortūnātum","lucky, fortunate, happy","fortūnātus, fortūnāta, fortūnātum"
"ignārus, ignāra, ignārum","ignorant","ignārus, ignāra, ignārum"
"miser, misera, miserum","wretched, miserable, unfortunate","miser, misera, miserum"
"caecus, caeca, caecum","blind","caecus, caeca, caecum"
"clārus,clāra,clārum","clear, bright; renowned, famous, illustrious","clārus,clāra,clārum"
"mortālis, mortāle","mortal","mortālis, mortāle"
"gravis, grave","heavy, weighty; serious, important; severe grievous","gravis, grave"
"immortālis, immortāle","not subject to death, immortal","immortālis, immortāle"
"commūnis, commūne","common, general, of/for the community","commūnis, commūne"
"dexter, dextra, dextrum","right, right-handed","dexter, dextra, dextrum"
"sinister, sinistra, sinistrum","left, left-handed; harmful, ill-omened","sinister, sinistra, sinistrum"
"Persicus, Persica, Persicum","Persian","Persicus, Persica, Persicum"
"vacuus, vacua, vacuum","free from","vacuus, vacua, vacuum"
"intempestīvus, intempestīva, intempestīvum","untimely","intempestīvus,intempestīva,intempestīvum"
"futūrus, futūra, futūrum","futuristic","futūrus,futūra,futūrum"
"aequus, aequa, aequum","level, even; calm; equal, just; favorable;","aequus, aequa, aequum"
"fēlīx, fēlīcis (-e)","lucky, fortunate, happy","fēlīx, fēlīcis (-e)"
"incertus, incerta, incertum","uncertain, unsure, doubtful","incertus, incerta, incertum"
"Latīnus, Latīna, latīnum","Latin","Latīnus, Latīna, latīnum"
"mollis, molle", "soft, mild","mollis, molle"
