Question,Answer,Name
"-ēre pres. act. 1st pers. sg.","-eō",-eō
"-ēre pres. act. 2nd pers. sg.","-ēs",-ēs
"-ēre pres. act. 3rd pers. sg.","-et",-et
"-ēre pres. act. 1st pers. pl.","-ēmus",-ēmus
"-ēre pres. act. 2nd pers. pl.","-ētis",-ētis
"-ēre pres. act. 3rd pers. pl.","-ent",-ent
"-ēre fut. act. 1st sg.","-ēbō",-ēbō
"-ēre fut. act. 2nd sg.","-ēbis",-ēbis
"-ēre fut. act. 3rd sg.","-ēbit",-ēbit
"-ēre fut. act. 1st pl.","-ēbimus",-ēbimus
"-ēre fut. act. 2nd pl.","-ēbitus",-ēbitis
"-ēre fut. act. 3rd pl.","-ēbunt",-ēbunt
"-ēre imp. act. 1st sg.","-ēbam",-ēbam
"-ēre imp. act. 2nd sg.","-ēbās",-ēbās
"-ēre imp. act. 3rd sg.","-ēbat",-ēbat
"-ēre imp. act. 1st pl.","-ēbāmus",-ēbāmus
"-ēre imp. act. 2nd pl.","-ēbātus",-ēbātis
"-ēre imp. act. 3rd pl.","-ēbant",-ēbant
