Question,Answer,Name
"-īre pres. act. 1st pers. sg","-iō","-iō"
"-īre pres. act. 2nd pers. sg","-īs","-īs"
"-īre pres. act. 3rd pers. sg","-it","-it"
"-īre pres. act. 1st pers. pl","-īmus","-īmus"
"-īre pres. act. 2nd pers. pl","-ītis","-ītis"
"-īre pres. act. 3rd pers. pl","-iunt","-iunt"
"-īre fut. act. 1st pers. sg","-iam","-iam"
"-īre fut. act. 2nd pers. sg","-iēs","-iēs"
"-īre fut. act. 3rd pers. sg","-iet","-iet"
"-īre fut. act. 1st pers. pl","-iēmus","-iēmus"
"-īre fut. act. 2nd pers. pl","-iētis","-iētis"
"-īre fut. act. 3rd pers. pl","-ient","-ient"
"-īre fut. act. 1st pers. sg","-iēbam","-iēbam"
"-īre fut. act. 2nd pers. sg","-iēbās","-iēbās"
"-īre fut. act. 3rd pers. sg","-iēbat","-iēbat"
"-īre fut. act. 1st pers. pl","-iēbamus","-iēbamus"
"-īre fut. act. 2nd pers. pl","-iēbātis","-iēbātis"
"-īre fut. act. 3rd pers. pl","-iēbant","-iēbant"
