Question,Answer,Name
"-que","and, appended to the second of two words","-que"
"et","and; even","et"
"et ... et","both … and","et ... et"
"neque, nec","and not; nor","neque, nec"
"neque ... neque","neither ... nor","neque ... neque"
"sed","but","sed"
"sī","if","sī"
"ac, atque","and also, and even, and in fact","ac, atque"
"aut","or","aut"
"aut ... aut","either ... or","aut ... aut"
"autem","postpositive; however, moreover","autem"
"enim","postpositive; for, in fact, truly","enim"
"at","more emotional than sed; but; but mind you; but, you say;","at"
