Question,Answer,Name
4th m./f. nom. sg.,-us,4th m./f. nom. sg.
4th m./f. gen. sg.,-ūs,4th m./f. gen. sg.
4th m./f. dat. sg.,-uī,4th m./f. dat. sg.
4th m./f. acc. sg.,-um,4th m./f. acc. sg.
4th m./f. abl. sg.,-ū,4th m./f. abl. sg.
4th m./f. voc. sg.,-us,4th m./f. voc. sg.
4th m./f. nom. pl.,-ūs,4th m./f. nom. pl.
4th m./f. gen. pl.,-uum,4th m./f. gen. pl.
4th m./f. dat. pl.,-ibus,4th m./f. dat. pl.
4th m./f. acc. pl.,-ūs,4th m./f. acc. pl.
4th m./f. abl. pl.,-ibus,4th m./f. abl. pl.
4th m./f. voc. pl.,-ūs,4th m./f. voc. pl.
