Question,Answer,Name
possum,"pres. 1st sg. - I am able/can",possum
potes,"pres. 2nd sg. - You are able/can",potes
potest,"pres. 3rd sg. - He,She,It,is able/can",potest
possumus,"pres. 1st pl. - We are able/can",possumus
potestis,"pres. 2nd pl. - You are able/can",potestis
possunt,"pres. 3rd pl. - They are able/can",possunt
poterō,"fut. 1st sg. - I will be able",poterō
poteris,"fut. 2nd sg. - You will be able",poteris
poterit,"fut. 3rd sg. - He,She,It will be able",poterit
poterimus,"fut. 1st pl. - We will be able",poterimus
poteritus,"fut. 2nd pl. - You will be able",poteritus
poterunt,"fut. 3rd pl. - They will be able",poterunt
poteram,"imp. 1st sg. - I was able/could",poteram
poterās,"imp. 2nd sg. - You were able/could",poterās
poterat,"imp. 3rd sg. - He,She,It was able/could",poterat
poterāmus,"imp. 1st pl. - We were able/could",poterāmus
poterātis,"imp. 2nd pl. - You were able/could",poterātis
poterant,"imp. 3rd pl. - They were able/could",poterant
potuī,"perf. 1st sg. - I have been able",potuī
potuistī,"perf. 2nd sg. - You have been able",potuistī
potuit,"perf. 3rd sg. - He,She,It has been able",potuit
potuimus,"perf. 1st pl. - We have been able",potuimus
potuistis,"perf 2nd pl. - You have been able",potuistis
potuērunt ,"perf. 3rd pl. - They have been able",potuērunt
potuerō,"fut. perf. 1st sg. - I will have been able",potuerō
potueris,"fut. perf. 2nd sg. - You will have been able",potueris
potuerit,"fut. perf. 3rd sg. - He,She,It,There will have been able",potuerit
potuerimus,"fut. perf. 1st pl. - We will have been able",potuerimus
potueritis,"fut. perf. 2nd pl. - You will have been able",potueritis
potuerint,"fut. perf. 3rd pl. - They will have been able",potuerint
potueram,"plu. perf. 1st sg. - I had been able",potueram
potuerās,"plu. perf. 2nd sg. - You had been able",potuerās
potuerat,"plu. perf. 3rd sg. - He,She,It,There had been able",potuerat
potuerāmus,"plu. perf. 1st pl. - We had been able",potuerāmus
potuerātis,"plu. perf. 2nd pl. - You had been able",potuerātis
potuerant,"plu. perf. 3rd pl. - They had been able",potuerant
