Question,Answer,Name
1st nom. sg.,-a,1st nom. sg.
1st gen. sg.,-ae,1st gen. sg.
1st dat. sg.,-ae,1st dat. sg.
1st acc. sg.,-am,1st acc. sg.
1st abl. sg.,-ā,1st abl. sg.
1st voc. sg.,-a,1st voc. sg.
1st nom. pl.,-ae,1st nom. pl.
1st gen. pl.,-ārum,1st gen. pl.
1st dat. pl.,-īs,1st dat. pl.
1st acc. pl.,-ās,1st acc. pl.
1st abl. pl.,-īs,1st abl. pl.
1st voc. pl.,-ae,1st voc. pl. 
2nd m. nom. sg.,-us/-er,2nd m. nom. sg.
2nd m. gen. sg.,-ī,2nd m. gen. sg.
2nd m. dat. sg.,-ō,2nd m. dat. sg.
2nd m. acc. sg.,-um,2nd m. acc. sg.
2nd m. abl. sg.,-ō,2nd m. abl. sg.
2nd m. voc. sg.,-e/-er,2nd m. voc. sg.
2nd m. nom. pl.,-ī,2nd m. nom. pl.
2nd m. gen. pl.,-ōrum,2nd m. gen. pl.
2nd m. dat. pl.,-īs,2nd m. dat. pl.
2nd m. acc. pl.,-ōs,2nd m. acc. pl.
2nd m. abl. pl.,-īs,2nd m. abl. pl.
2nd m. voc. pl.,-ī,2nd m. voc. pl.
2nd n. nom. sg.,-um,2nd n. nom. sg.
2nd n. gen. sg.,-ī,2nd n. gen. sg.
2nd n. dat. sg.,-ō,2nd n. dat. sg.
2nd n. acc. sg.,-um,2nd n. acc. sg.
2nd n. abl. sg.,-ō,2nd n. abl. sg.
2nd n. voc. sg.,-um,2nd n. voc. sg.
2nd n. nom. pl.,-a,2nd n. nom. pl.
2nd n. gen. pl.,-ōrum,2nd n. gen. pl.
2nd n. dat. pl.,-īs,2nd n. dat. pl.
2nd n. acc. pl.,-a,2nd n. acc. pl.
2nd n. abl. pl.,-īs,2nd n. abl. pl.
2nd n. voc. pl.,-a,2nd n. voc. pl.
3rd m./f. nom. sg.,--,3rd m./f. nom. sg.
3rd m./f. gen. sg.,-is,3rd m./f. gen. sg.
3rd m./f. dat. sg.,-ī,3rd m./f. dat. sg.
3rd m./f. acc. sg.,-em,3rd m./f. acc. sg.
3rd m./f. abl. sg.,-e,3rd m./f. abl. sg.
3rd m./f. voc. sg.,--,3rd m./f. voc. sg.
3rd m./f. nom. pl.,-ēs,3rd m./f. nom. pl.
3rd m./f. gen. pl.,-um,3rd m./f. gen. pl.
3rd m./f. dat. pl.,-ibus,3rd m./f. dat. pl.
3rd m./f. acc. pl.,-ēs,3rd m./f. acc. pl.
3rd m./f. abl. pl.,-ibus,3rd m./f. abl. pl.
3rd m./f. voc. pl.,-ēs,3rd m./f. voc. pl.
3rd n. nom. sg.,--,3rd n. nom. sg.
3rd n. gen. sg.,-is,3rd n. gen. sg.
3rd n. dat. sg.,-ī,3rd n. dat. sg.
3rd n. acc. sg.,--,3rd n. acc. sg.
3rd n. abl. sg.,-e,3rd n. abl. sg.
3rd n. voc. sg.,--,3rd n. voc. sg.
3rd n. nom. pl.,-a,3rd n. nom. pl.
3rd n. gen. pl.,-um,3rd n. gen. pl.
3rd n. dat. pl.,-ibus,3rd n. dat. pl.
3rd n. acc. pl.,-a,3rd n. acc. pl.
3rd n. abl. pl.,-ibus,3rd n. abl. pl.
3rd n. voc. pl.,-a,3rd n. voc. pl.
