Question,Answer,Name
"in","+ abl., in, + acc., into, toward, against",in
"cum","+ abl., with","cum"
"ad","+ acc., to, up to, near to","ad"
"ā, ab","+ abl., from, away from; by (agent)","ā, ab"
"dē","+ abl., down from, from; concerning, about","dē"
"per","+ acc., through; by (with reflexive pron.)","per"
"ē, ex","+ abl., out of, from within, from; by reason of, on account of; of (following cardinal numbers","ē, ex"
"inter","+ acc., between, among","inter"
"sine","+ abl., without",sine
"ante","+ acc., before, in front of","ante"
"post","+ acc., after, behind",post
"sub","+ abl., (w/ verbs of rest), + acc. (w/ verbs of motion), under, up under, close to; down to/into, to/at the foot of","sub"
