Question,Answer,Name
1st f. nom. sg.,haec,1st f. nom. sg.
1st f. gen. sg.,huius,1st f. gen. sg.
1st f. dat. sg.,huic,1st f. dat. sg.
1st f. acc. sg.,hanc,1st f. acc. sg.
1st f. abl. sg.,hāc,1st f. abl. sg.
1st f. nom. pl.,hae,1st f. nom. pl.
1st f. gen. pl.,hārum,1st f. gen. pl.
1st f. dat. pl.,hīs,1st f. dat. pl.
1st f. acc. pl.,hās,1st f. acc. pl.
1st f. abl. pl.,hīs,1st f. abl. pl.
1st m. nom. sg.,hic,1st m. nom. sg.
1st m. gen. sg.,huius,1st m. gen. sg.
1st m. dat. sg.,huic,1st m. dat. sg.
1st m. acc. sg.,hunc,1st m. acc. sg.
1st m. abl. sg.,hōc,1st m. abl. sg.
1st m. nom. pl.,hī,1st m. nom. pl.
1st m. gen. pl.,hōrum,1st m. gen. pl.
1st m. dat. pl.,hīs,1st m. dat. pl.
1st m. acc. pl.,hōs,1st m. acc. pl.
1st m. abl. pl.,hīs,1st m. abl. pl.
1st n. nom. sg.,hoc,1st m. nom. sg.
1st n. gen. sg.,huius,1st m. gen. sg.
1st n. dat. sg.,huic,1st m. dat. sg.
1st n. acc. sg.,hoc,1st m. acc. sg.
1st n. abl. sg.,hōc,1st m. abl. sg.
1st n. nom. pl.,haec,1st n. nom. pl.
1st n. gen. pl.,hōrum,1st n. gen. pl.
1st n. dat. pl.,hīs,1st n. dat. pl.
1st n. acc. pl.,haec,1st n. acc. pl.
1st n. abl. pl.,hīs,1st n. abl. pl.
