Question,Answer,Name
1st f. nom. sg.,illa,1st f. nom. sg.
1st f. gen. sg.,illius,1st f. gen. sg.
1st f. dat. sg.,illī,1st f. dat. sg.
1st f. acc. sg.,illam,1st f. acc. sg.
1st f. abl. sg.,illā,1st f. abl. sg.
1st f. nom. pl.,illae,1st f. nom. pl.
1st f. gen. pl.,illārum,1st f. gen. pl.
1st f. dat. pl.,illīs,1st f. dat. pl.
1st f. acc. pl.,illās,1st f. acc. pl.
1st f. abl. pl.,illīs,1st f. abl. pl.
1st m. nom. sg.,ille,1st m. nom. sg.
1st m. gen. sg.,illius,1st m. gen. sg.
1st m. dat. sg.,illī,1st m. dat. sg.
1st m. acc. sg.,illum,1st m. acc. sg.
1st m. abl. sg.,illō,1st m. abl. sg.
1st m. nom. pl.,illī,1st m. nom. pl.
1st m. gen. pl.,illōrum,1st m. gen. pl.
1st m. dat. pl.,illīs,1st m. dat. pl.
1st m. acc. pl.,illōs,1st m. acc. pl.
1st m. abl. pl.,illīs,1st m. abl. pl.
1st n. nom. sg.,illud,1st m. nom. sg.
1st n. gen. sg.,illius,1st m. gen. sg.
1st n. dat. sg.,illī,1st m. dat. sg.
1st n. acc. sg.,illud,1st m. acc. sg.
1st n. abl. sg.,illō,1st m. abl. sg.
1st n. nom. pl.,illa,1st n. nom. pl.
1st n. gen. pl.,illōrum,1st n. gen. pl.
1st n. dat. pl.,illīs,1st n. dat. pl.
1st n. acc. pl.,illa,1st n. acc. pl.
1st n. abl. pl.,illīs,1st n. abl. pl.
