Question,Answer,Name
1st f. nom. sg.,ea,1st f. nom. sg.
1st f. gen. sg.,eius,1st f. gen. sg.
1st f. dat. sg.,eī,1st f. dat. sg.
1st f. acc. sg.,eam,1st f. acc. sg.
1st f. abl. sg.,eā,1st f. abl. sg.
1st f. nom. pl.,eae,1st f. nom. pl.
1st f. gen. pl.,eārum,1st f. gen. pl.
1st f. dat. pl.,eīs,1st f. dat. pl.
1st f. acc. pl.,eās,1st f. acc. pl.
1st f. abl. pl.,eīs,1st f. abl. pl.
1st m. nom. sg.,is,1st m. nom. sg.
1st m. gen. sg.,eius,1st m. gen. sg.
1st m. dat. sg.,eī,1st m. dat. sg.
1st m. acc. sg.,eum,1st m. acc. sg.
1st m. abl. sg.,eō,1st m. abl. sg.
1st m. nom. pl.,"eī,iī",1st m. nom. pl.
1st m. gen. pl.,eōrum,1st m. gen. pl.
1st m. dat. pl.,eīs,1st m. dat. pl.
1st m. acc. pl.,eōs,1st m. acc. pl.
1st m. abl. pl.,eīs,1st m. abl. pl.
1st n. nom. sg.,id,1st m. nom. sg.
1st n. gen. sg.,eius,1st m. gen. sg.
1st n. dat. sg.,eī,1st m. dat. sg.
1st n. acc. sg.,id,1st m. acc. sg.
1st n. abl. sg.,eō,1st m. abl. sg.
1st n. nom. pl.,ea,1st n. nom. pl.
1st n. gen. pl.,eōrum,1st n. gen. pl.
1st n. dat. pl.,eīs,1st n. dat. pl.
1st n. acc. pl.,ea,1st n. acc. pl.
1st n. abl. pl.,eīs,1st n. abl. pl.
