Question,Answer,Name
1st f. nom. sg.,ista,1st f. nom. sg.
1st f. gen. sg.,istius,1st f. gen. sg.
1st f. dat. sg.,istī,1st f. dat. sg.
1st f. acc. sg.,istam,1st f. acc. sg.
1st f. abl. sg.,istā,1st f. abl. sg.
1st f. nom. pl.,istae,1st f. nom. pl.
1st f. gen. pl.,istārum,1st f. gen. pl.
1st f. dat. pl.,istīs,1st f. dat. pl.
1st f. acc. pl.,istās,1st f. acc. pl.
1st f. abl. pl.,istīs,1st f. abl. pl.
1st m. nom. sg.,iste,1st m. nom. sg.
1st m. gen. sg.,istius,1st m. gen. sg.
1st m. dat. sg.,istī,1st m. dat. sg.
1st m. acc. sg.,istum,1st m. acc. sg.
1st m. abl. sg.,istō,1st m. abl. sg.
1st m. nom. pl.,istī,1st m. nom. pl.
1st m. gen. pl.,istōrum,1st m. gen. pl.
1st m. dat. pl.,istīs,1st m. dat. pl.
1st m. acc. pl.,istōs,1st m. acc. pl.
1st m. abl. pl.,istīs,1st m. abl. pl.
1st n. nom. sg.,istud,1st m. nom. sg.
1st n. gen. sg.,istius,1st m. gen. sg.
1st n. dat. sg.,istī,1st m. dat. sg.
1st n. acc. sg.,istud,1st m. acc. sg.
1st n. abl. sg.,istō,1st m. abl. sg.
1st n. nom. pl.,ista,1st n. nom. pl.
1st n. gen. pl.,istōrum,1st n. gen. pl.
1st n. dat. pl.,istīs,1st n. dat. pl.
1st n. acc. pl.,ista,1st n. acc. pl.
1st n. abl. pl.,istīs,1st n. abl. pl.
