Question,Answer,Name
I sg. nom.,ego,I sg. nom.
I sg. gen.,mei,I sg. gen.
I sg. dat.,mihi,I sg. dat.
I sg. acc.,mē,I sg. acc.
I sg. abl.,mē,I sg. abl.
We/Us pl. nom.,nōs,We/Us pl. nom.
We/Us pl. gen.,nostri/nostrum,We/Us pl. gen.
We/Us pl. dat.,nobis,We/Us pl. dat.
We/Us pl. acc.,nōs,We/Us pl. acc.
We/Us pl. abl.,nobis,We/Us pl. abl.
You sg. nom.,tu,You sg. nom.
You sg. gen.,tui,You sg. gen.
You sg. dat.,tibi,You sg. dat.
You sg. acc.,tē,You sg. acc.
You sg. abl.,tē,You sg. abl.
You pl. nom.,vōs,You pl. nom.
You pl. gen.,vestri/vestrum,You pl. gen.
You pl. dat.,vobis,You pl. dat.
You pl. acc.,vōs,You pl. acc.
You pl. abl.,vobis,You pl. abl.
