Question,Answer,Name
1st f. nom. sg.,quae,1st f. nom. sg.
1st f. gen. sg.,cuius,1st f. gen. sg.
1st f. dat. sg.,cui,1st f. dat. sg.
1st f. acc. sg.,quam,1st f. acc. sg.
1st f. abl. sg.,quā,1st f. abl. sg.
1st f. nom. pl.,quae,1st f. nom. pl.
1st f. gen. pl.,quārum,1st f. gen. pl.
1st f. dat. pl.,quibus,1st f. dat. pl.
1st f. acc. pl.,quās,1st f. acc. pl.
1st f. abl. pl.,quibus,1st f. abl. pl.
1st m. nom. sg.,quī,1st m. nom. sg.
1st m. gen. sg.,cuius,1st m. gen. sg.
1st m. dat. sg.,cui,1st m. dat. sg.
1st m. acc. sg.,quem,1st m. acc. sg.
1st m. abl. sg.,quō,1st m. abl. sg.
1st m. nom. pl.,quī,1st m. nom. pl.
1st m. gen. pl.,quōrum,1st m. gen. pl.
1st m. dat. pl.,quibus,1st m. dat. pl.
1st m. acc. pl.,quōs,1st m. acc. pl.
1st m. abl. pl.,quibus,1st m. abl. pl.
1st n. nom. sg.,quod,1st m. nom. sg.
1st n. gen. sg.,cuius,1st m. gen. sg.
1st n. dat. sg.,cui,1st m. dat. sg.
1st n. acc. sg.,quod,1st m. acc. sg.
1st n. abl. sg.,quō,1st m. abl. sg.
1st n. nom. pl.,quae,1st n. nom. pl.
1st n. gen. pl.,quōrum,1st n. gen. pl.
1st n. dat. pl.,quibus,1st n. dat. pl.
1st n. acc. pl.,quae,1st n. acc. pl.
1st n. abl. pl.,quibus,1st n. abl. pl.
