Question,Answer,Name
"-āre pres. act. 1st pers. sg.","-ō",-ō
"-āre pres. act. 2nd pers. sg.","-ās",-ās
"-āre pres. act. 3rd pers. sg.","-at",-at
"-āre pres. act. 1st pers. pl.","-āmus",-āmus
"-āre pres. act. 2nd pers. pl.","-ātis",-ātis
"-āre pres. act. 3rd pers. pl.","-ant",-ant
"-āre fut. act. 1st sg.","-ābō",-ābō
"-āre fut. act. 2nd sg.","-ābis",-ābis
"-āre fut. act. 3rd sg.","-ābit",-ābit
"-āre fut. act. 1st pl.","-ābimus",-ābimus
"-āre fut. act. 2nd pl.","-ābitus",-ābitus
"-āre fut. act. 3rd pl.","-ābunt",-ābunt
"-āre imp. act. 1st sg.","-ābam",-ābam
"-āre imp. act. 2nd sg.","-ābās",-ābās
"-āre imp. act. 3rd sg.","-ābat",-ābat
"-āre imp. act. 1st pl.","-ābāmus",-ābāmus
"-āre imp. act. 2nd pl.","-ābātus",-ābātus
"-āre imp. act. 3rd pl.","-ābant",-ābant
