Question,Answer,Name
"dīcō, dīcere, dīxī, ductum","to say, tell, speak; name, call","dīcō, dīcere"
"faciō, facere, fēcī, factum","to make, do, accomplish","faciō, facere"
"videō, vidēre, vīdī, vīsum","to see, observe, understand","videō, vidēre"
"habeō, habēre, habuī, habitum","to have, hold, possess; consider, regard","habeō, habēre"
"dō, dare, dedī, datum","to give, offer","dō, dare"
"veniō, venīre, vēnī, ventum","to come","veniō, venīre"
"audiō, audīre, audīvī, audītum","to hear, listen to","audiõ, audīre"
"agō, agere, agēgī, actum","to drive, lead, do, act, pass","agō, agere"
"capiō, capere, cēpī, captum","to take, capture, sieze, get","capiō, capere"
"amō, amāre, amāvī, amātum","to love, like","amō, amāre"
"teneō, tenēre, tenuī, tentum","to hold, maintain","teneō, tenēre"
"quaerō, quaerere, quaesīvī, quaesītum","seek, look for, strive for; ask, inquire, inquire into","quaerō, quaerere"
