
"dubitō, dubitāre, dubitāvī, dubitātum","to doubt, be doubtful","dubitō, dubitāre"
"egeō, egēre, eguī","to be in need",egēre
"festīnō, festīnāre, festīnāvī, festīnātum","to hasten, make haste",festīnāre
"dēmōnstrō, dēmōnstrāre, dēmōnstrāvī, dēmōnstrātum","to point out, show, demonstrate",
"discō, discere, didicī","to learn","discō, discere"
"scrībō, scrībere, scrīpsį, scrīptum","to write, compose","scrībō, scrībere"
"trahō, trahere, trāxī, tractum","to draw, drag;derive, acquire","trahō, trahere"
"vīvō, vīvere, vīxī, victum","to live","vīvō, vīvere"
"valeō, valēre, valuī, valitūrum","to be strong, have power, be well","vīvō, vīvere"
"vītō, vītāre, vītāvī, vītātum","to avoid","vītō, vītāre"
"volō, volāre, volāvī, volātum","to fly, move quickly","volō, volāre"
"superō, superāre, superāvī, superātum","to be above","superō, superāre"
