Question,Answer,Name
"<p style=""text-align:center;"">-ne</p>","<p style=""text-align:center;"">interrog.</p><p style=""text-align:center;"">Suffix attached to the first word of a sentence, typically the verb or another word on which the question hinges to introduce a question whose answer is uncertain.</p><p style=""text-align:center;""> </p>",-ne
"<p style=""text-align:center;"">dē-</p>","<p style=""text-align:center;"">prefix</p><p style=""text-align:center;""><i>down, away, aside, out, off</i></p>",dē-
"<p style=""text-align:center;"">mē</p>","<p style=""text-align:center;"">pron.</p><p style=""text-align:center;""><i>me, myself</i></p>",mē
"<p style=""text-align:center;"">Ō</p>","<p style=""text-align:center;"">interj.</p><p style=""text-align:center;""><i>O!, Oh!</i></p><p style=""text-align:center;"">commonly preceding a vocative</p>",Ō
"<p style=""text-align:center;"">poenās dare</p>","<p style=""text-align:center;"">idiom</p><p style=""text-align:center;""><i>to pay the penalty</i></p>",poenās dare
"<p style=""text-align:center;"">quid</p>","<p style=""text-align:center;"">pron.</p><p style=""text-align:center;""><i>what</i></p>",quid
"<p style=""text-align:center;"">salvē, salvēte</p>","<p style=""text-align:center;"">idiom</p><p style=""text-align:center;""><i>hello, greetings!</i></p>","salvē, salvēte"
"<p style=""text-align:center;"">satis</p>","<p style=""text-align:center;"">indecl. noun, adj., and adv.</p><p style=""text-align:center;""><i>enough, sufficient (-ly)</i></p>",satis
"<p style=""text-align:center;"">sī quandō</p>","<p style=""text-align:center;""><i>if ever</i></p>",sī quandō
"<p style=""text-align:center;"">tē</p>","<p style=""text-align:center;"">abl. + acc. sg.</p><p style=""text-align:center;""><i>you, yourself</i></p>",tē
"<p style=""text-align:center;"">valē, valēte</p>","<p style=""text-align:center;"">idiom</p><p style=""text-align:center;""><i>goodbye, farewell!</i></p>","valē, valēte"
