Question,Answer,Name
"<p style=""text-align:center;"">amor, amōris</p>","<p style=""text-align:center;"">noun m.,</p><p style=""text-align:center;"">3rd declension</p><p style=""text-align:center;""><i>love</i></p>","amor, amōris"
"<p style=""text-align:center;"">carmen, carmenis</p>","<p style=""text-align:center;"">noun n.,</p><p style=""text-align:center;"">3rd declension</p><p style=""text-align:center;""><i>song, poem</i></p>","carmen, carmenis"
"<p style=""text-align:center;"">cīvitās, cīvitātis</p>","<p style=""text-align:center;"">noun f.,</p><p style=""text-align:center;"">3rd declension</p><p style=""text-align:center;""><i>state, citizenship</i></p>","cīvitās, cīvitātis"
"<p style=""text-align:center;"">corpus, corporis</p>","<p style=""text-align:center;"">noun n.,</p><p style=""text-align:center;"">3rd declension</p><p style=""text-align:center;""><i>body</i></p>","corpus, corporis"
"<p style=""text-align:center;"">homō, hominis</p>","<p style=""text-align:center;"">noun m.,</p><p style=""text-align:center;"">3rd declension</p><p style=""text-align:center;""><i>human being, man</i></p>","homō, hominis"
"<p style=""text-align:center;"">labor, labōris</p>","<p style=""text-align:center;"">noun m.,</p><p style=""text-align:center;"">3rd declension</p><p style=""text-align:center;""><i>labor, work, toil; a work</i></p>","labor, labōris"
"<p style=""text-align:center;"">littera, litterae</p>","<p style=""text-align:center;"">noun f.,</p><p style=""text-align:center;"">1st declension</p><p style=""text-align:center;""><i>a letter of the alphabet</i></p>","littera, litterae"
"<p style=""text-align:center;"">litterae, litterārum</p>","<p style=""text-align:center;"">noun f. pl.,</p><p style=""text-align:center;"">1st declension</p><p style=""text-align:center;""><i>a letter (epistle), literature</i></p>","litterae, litterārum"
"<p style=""text-align:center;"">mōs, mōris</p>","<p style=""text-align:center;"">noun m.,</p><p style=""text-align:center;"">3rd declension</p><p style=""text-align:center;""><i>habit, custom, manner</i></p>","mōs, mōris"
"<p style=""text-align:center;"">mōrēs, mōrum</p>","<p style=""text-align:center;"">noun m. pl.,</p><p style=""text-align:center;"">3rd declension</p><p style=""text-align:center;""><i>habit, morals, character</i></p>","mōrēs, mōrum"
"<p style=""text-align:center;"">nōmen, nōminis</p>","<p style=""text-align:center;"">noun m.,</p><p style=""text-align:center;"">3rd declension</p><p style=""text-align:center;""><i>name</i></p>","nōmen, nōminis"
"<p style=""text-align:center;"">pāx, pācis</p>","<p style=""text-align:center;"">noun f.,</p><p style=""text-align:center;"">3rd declension</p><p style=""text-align:center;""><i>peace</i></p>","pāx, pācis"
"<p style=""text-align:center;"">rēgīna, regīnae</p>","<p style=""text-align:center;"">noun f.,</p><p style=""text-align:center;"">1st declension</p><p style=""text-align:center;""><i>queen</i></p>","rēgīna, regīnae"
"<p style=""text-align:center;"">rēx, rēgis</p>","<p style=""text-align:center;"">noun m.,</p><p style=""text-align:center;"">3rd declension</p><p style=""text-align:center;""><i>king</i></p>","rēx, rēgis"
"<p style=""text-align:center;"">tempus, temporis</p>","<p style=""text-align:center;"">noun n.,</p><p style=""text-align:center;"">3rd declension</p><p style=""text-align:center;""><i>time; occasion, opportunity</i></p>","tempus, temporis"
"<p style=""text-align:center;"">terra, terrae</p>","<p style=""text-align:center;"">noun f.,</p><p style=""text-align:center;"">1st declension</p><p style=""text-align:center;""><i>earth, ground, land, country</i></p>","terra, terrae"
"<p style=""text-align:center;"">uxor, uxōris</p>","<p style=""text-align:center;"">noun f.,</p><p style=""text-align:center;"">3rd declension</p><p style=""text-align:center;""><i>wife</i></p>","uxor, uxōris"
"<p style=""text-align:center;"">virgo, virginis</p>","<p style=""text-align:center;"">noun f.,</p><p style=""text-align:center;"">3rd declension</p><p style=""text-align:center;""><i>maiden, virgin</i></p>","virgo, virginis"
"<p style=""text-align:center;"">virtūs, virtūtis</p>","<p style=""text-align:center;"">noun f.,</p><p style=""text-align:center;"">3rd declension</p><p style=""text-align:center;""><i>manliness, courage; excellence, character, worth, virtue</i></p>","virtūs, virtūtis"
"<p style=""text-align:center;"">novus, nova, novum</p>","<p style=""text-align:center;"">adj.</p><p style=""text-align:center;"">1st/2nd declension</p><p style=""text-align:center;""><i>new; strange</i></p>","novus, nova, novum"
"<p style=""text-align:center;"">sub</p>","<p style=""text-align:center;"">prep. + abl. with vers of rest</p><p style=""text-align:center;"">prep. + acc. with vers of motion</p><p style=""text-align:center;""><i>under, up under, close to; down to/into, to/at the foot of</i></p>","sub"
"<p style=""text-align:center;"">post</p>","<p style=""text-align:center;"">prep. + acc.</p><p style=""text-align:center;""><i>after, behind</i></p>","post"
"<p style=""text-align:center;"">audeō, audēre, ausus sum</p>","<p style=""text-align:center;"">verb</p><p style=""text-align:center;""><i>to dare</i></p>","audeō, audēre, ausus sum"
"<p style=""text-align:center;"">necō, necāre, necāvī, necātum</p>","<p style=""text-align:center;"">verb</p><p style=""text-align:center;""><i>to murder, kill</i></p>","necō, necāre, necāvī, necātum"
